GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.util,PopulateSampleData,0,62,1,5,0,13,1,3,0,1
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.view.codebehind,GuiHelper,58,0,0,0,18,0,3,0,3,0
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.view.codebehind,Views,49,0,0,0,10,0,3,0,3,0
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.view.codebehind,CreateAccountPageView,262,0,28,0,78,0,29,0,15,0
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.view.codebehind,HomePageView,338,0,50,0,82,0,41,0,16,0
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.view.codebehind,AccountPortfolioPageView,557,0,46,0,141,0,48,0,25,0
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.view.codebehind,ProjectPageView,755,0,74,0,206,0,63,0,26,0
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.view.codebehind,LoginPageView,144,0,14,0,45,0,19,0,12,0
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.model,AccountContext,0,29,0,4,0,10,0,8,0,6
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.model,ProjectManager,0,71,0,12,0,19,0,11,0,5
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.model,Project,0,69,0,0,0,28,0,12,0,12
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.model,Session,0,29,0,4,0,10,0,8,0,6
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.model,AccountManager,0,121,0,24,0,29,0,20,0,8
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.model,ProjectContext,0,29,0,4,0,10,0,8,0,6
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio.model,User,0,39,0,0,0,14,0,7,0,7
Project-Portfolio-Project,edu.westga.comp4420.project_portfolio,Main,30,0,0,0,11,0,4,0,4,0
